Route Number,County,Rank,Vehicle Delay Amount,Annual Vehicle Miles Traveled (VMT),Fwy-Full
405,Los Angeles,1,12260458,"4,697,771,100",I 405
10,Los Angeles,2,7525438,"3,615,882,063",I 10
5,Los Angeles,3,6997620,"4,379,824,392",I 5
101,Los Angeles,4,5769624,"3,129,697,745",US 101
210,Los Angeles,5,5104299,"3,605,873,938",I 210
110,Los Angeles,6,4669158,"2,141,832,493",SR 110
880,Alameda,7,4378812,"2,534,915,275",I 880
5,San Diego,8,3918409,"4,222,807,581",I 5
60,Los Angeles,9,3583793,"2,647,478,144",SR 60
5,Orange,10,3276702,"4,090,148,104",I 5
605,Los Angeles,11,3235685,"2,134,921,744",I 605
405,Orange,12,3188880,"2,349,949,535",I 405
80,Alameda,13,2900484,"698,516,771",I 80
101,Santa Clara,14,2606683,"2,758,059,167",US 101
105,Los Angeles,15,2360134,"1,212,376,586",I 105
805,San Diego,16,2244224,"1,945,635,508",I 805
101,San Mateo,17,2207186,"2,183,658,574",US 101
580,Alameda,18,2149671,"2,832,579,511",I 580
91,Orange,19,1981701,"2,126,943,615",SR 91
55,Orange,20,1832613,"1,224,393,730",SR 55
15,San Diego,21,1831487,"3,603,203,735",I 15
85,Santa Clara,22,1703557,"895,192,712",SR 85
91,Los Angeles,23,1564112,"1,242,783,305",SR 91
134,Los Angeles,24,1553544,"1,009,578,548",SR 134
280,Santa Clara,25,1550969,"935,977,315",I 280
57,Orange,26,1443536,"1,860,903,938",SR 57
24,Contra Costa,27,1397023,"583,479,737",SR 24
680,Contra Costa,28,1385911,"1,458,891,654",I 680
680,Alameda,29,1304631,"841,304,939",I 680
4,Contra Costa,30,1304610,"1,244,293,456",SR 4
57,Los Angeles,31,1276190,"823,017,689",SR 57
101,Ventura,32,1273156,"1,451,820,698",US 101
80,Contra Costa,33,1268615,"1,198,105,290",I 80
710,Los Angeles,34,1258411,"1,259,942,201",I 710
170,Los Angeles,35,1248304,"470,950,091",SR 170
91,Riverside,36,1247748,"1,483,595,746",SR 91
101,San Francisco,37,1218137,"408,997,434",US 101
15,San Bernardino,38,1201516,"7,179,373,093",I 15
51,Sacramento,39,1143216,"478,643,379",SR 51
101,Marin,40,1021308,"1,312,743,115",US 101
680,Santa Clara,41,1005062,"524,850,708",I 680
80,San Francisco,42,994752,"416,246,250",I 80
15,Riverside,43,929753,"2,796,829,498",I 15
10,San Bernardino,44,925758,"2,745,604,876",I 10
205,San Joaquin,45,897584,"628,108,926",I 205
92,San Mateo,46,893349,"399,807,718",SR 92
215,Riverside,47,882844,"2,189,247,831",I 215
84,Alameda,48,861739,"182,027,397",SR 84
78,San Diego,49,830705,"815,880,141",SR 78
80,Solano,50,828127,"2,268,828,497",I 80
8,San Diego,51,789785,"1,318,483,557",I 8
